,"Country,Other",TotalCases,TotalRecovered
0,USA,"107,542,897","105,668,784"
1,India,"44,995,802","44,462,351"
2,France,"40,138,560","39,970,918"
3,Germany,"38,428,685","38,240,600"
4,Brazil,"37,728,415","36,249,161"
6,S. Korea,"33,201,796","32,576,196"
7,Italy,"25,912,481","25,608,670"
8,UK,"24,651,375","24,414,432"
9,Russia,"22,977,274","22,430,122"
11,Spain,"13,914,811","13,762,417"
12,Australia,"11,736,523","11,703,798"
13,Vietnam,"11,621,934","10,640,347"
14,Taiwan,"10,241,506","10,222,499"
15,Argentina,"10,057,945","9,927,418"
16,Netherlands,"8,610,372","8,587,380"
17,Mexico,"7,633,355","6,885,378"
18,Iran,"7,612,935","7,372,589"
19,Indonesia,"6,812,670","6,645,399"
20,Poland,"6,518,209","5,335,940"
21,Colombia,"6,377,142","6,190,683"
22,Greece,"6,101,379","6,064,290"
23,Austria,"6,081,287","6,054,934"
24,Portugal,"5,596,420","5,567,127"
25,Ukraine,"5,557,995","5,445,577"
26,Chile,"5,289,293","5,224,646"
27,Malaysia,"5,120,581","5,069,820"
28,Israel,"4,831,302","4,798,473"
29,Belgium,"4,802,854","4,767,511"
30,DPRK,"4,772,813","4,772,739"
31,Thailand,"4,755,175","4,692,636"
32,Canada,"4,697,504","4,638,302"
33,Czechia,"4,643,095","4,600,101"
34,Peru,"4,517,034","4,294,246"
35,Switzerland,"4,407,771","4,392,653"
36,Philippines,"4,173,477","4,102,891"
37,South Africa,"4,076,463","3,912,506"
38,Romania,"3,409,997","3,340,632"
39,Denmark,"3,182,523","3,173,623"
40,Hong Kong,"2,915,635","2,897,322"
41,Sweden,"2,712,743","2,688,207"
42,Serbia,"2,544,741","2,526,334"
43,Singapore,"2,518,281","2,149,583"
44,Iraq,"2,465,545","2,439,497"
45,New Zealand,"2,436,894","2,430,081"
46,Hungary,"2,203,289","2,152,155"
47,Bangladesh,"2,044,532","1,998,448"
48,Slovakia,"1,866,857","1,845,690"
49,Georgia,"1,845,538","1,776,548"
50,Jordan,"1,746,997","1,731,007"
51,Ireland,"1,714,643","1,704,802"
52,Pakistan,"1,581,304","1,538,689"
53,Norway,"1,486,301","1,480,362"
54,Finland,"1,483,208","1,472,785"
55,Kazakhstan,"1,411,831","1,383,020"
56,Slovenia,"1,344,316","1,337,079"
57,Lithuania,"1,321,991","1,311,945"
58,Bulgaria,"1,309,763","1,269,913"
59,Morocco,"1,275,273","1,256,151"
60,Croatia,"1,274,123","1,255,683"
61,Guatemala,"1,271,969","1,247,469"
62,Costa Rica,"1,238,883","860,711"
63,Lebanon,"1,238,552","1,087,587"
64,Bolivia,"1,206,620","1,175,005"
